STUSAB,GEOID,STATE,COUNTY,UR,NAME,Total_20,WNH_20,Hispanic_20,Black_20,AIAN_20,Asian_20,PI_20,Other_20
FL,1200075,12,NA,NA,Acacia Villas CDP,398,85,280,19,18,16,1,220
FL,1200375,12,NA,NA,Alachua city,10574,6279,1187,2557,234,383,21,1028
FL,1200410,12,NA,NA,Alafaya CDP,92452,35254,35584,13641,1782,9101,245,27264
FL,1200625,12,NA,NA,Alford town,484,411,27,23,23,3,0,24
FL,1200800,12,NA,NA,Allentown CDP,1023,858,29,16,88,30,8,29
FL,1200950,12,NA,NA,Altamonte Springs city,46231,20899,14167,9321,991,2241,109,10905
FL,1201000,12,NA,NA,Altha town,496,441,31,15,7,2,1,23
FL,1201050,12,NA,NA,Altoona CDP,98,85,9,1,0,1,1,10
FL,1201100,12,NA,NA,Alturas CDP,4084,3040,758,153,149,22,8,489
FL,1201125,12,NA,NA,Alva CDP,2725,2420,174,28,61,24,0,150
FL,1201353,12,NA,NA,Andrews CDP,837,721,43,28,29,16,3,34
FL,1201475,12,NA,NA,Anna Maria city,968,902,30,10,8,15,0,29
FL,1201625,12,NA,NA,Apalachicola city,2341,1442,184,665,55,14,5,178
FL,1201675,12,NA,NA,Apollo Beach CDP,26002,16910,4493,3148,602,1261,64,3508
FL,1201700,12,NA,NA,Apopka city,54873,20860,15971,15818,1172,2364,109,12885
FL,1201750,12,NA,NA,Arcadia city,7420,2905,2356,1997,105,90,9,1917
FL,1201775,12,NA,NA,Archer city,1140,581,82,459,24,19,4,67
FL,1201875,12,NA,NA,Aripeka CDP,320,283,24,8,2,1,1,23
FL,1202187,12,NA,NA,Asbury Lake CDP,11036,8314,1000,1056,362,314,67,802
FL,1202250,12,NA,NA,Astatula town,1889,1161,608,54,42,24,5,467
FL,1202275,12,NA,NA,Astor CDP,1759,1424,265,22,40,6,2,236
FL,1202400,12,NA,NA,Atlantic Beach city,13513,10743,845,1158,271,496,28,724
FL,1202500,12,NA,NA,Atlantis city,2142,1766,210,69,3,78,2,177
FL,1202550,12,NA,NA,Auburndale city,15616,9709,2920,2289,421,362,33,2210
FL,1202575,12,NA,NA,Aucilla CDP,103,58,2,37,6,1,0,2
FL,1202660,12,NA,NA,Avalon CDP,722,613,27,22,42,17,3,31
FL,1202677,12,NA,NA,Ave Maria CDP,6242,3505,1779,678,97,232,6,1339
FL,1202681,12,NA,NA,Aventura city,40242,19899,16225,1621,265,1077,38,13235
FL,1202750,12,NA,NA,Avon Park city,9658,3933,2813,2910,187,93,25,1801
FL,1202850,12,NA,NA,Azalea Park CDP,14141,2926,9188,1782,284,743,40,6909
FL,1202900,12,NA,NA,Babson Park CDP,1330,908,192,187,43,19,8,136
